year,unit,value,method_of_travel,breakdown_of_domestic_tourism,travel_type
2019,million pounds (GBP),138.9,Car - hired,Expenditure,Car
2015,million pounds (GBP),46,Car - hired,Expenditure,Car
2013,million pounds (GBP),31.4,Car - hired,Expenditure,Car
2015,million pounds (GBP),0.9,Tube,Expenditure,Tube
2014,million pounds (GBP),5.3,Tube,Expenditure,Tube
2019,million pounds (GBP),23.6,Tube,Expenditure,Tube
2019,million pounds (GBP),866.6,Train,Expenditure,Train
2015,million pounds (GBP),581.7,Train,Expenditure,Train
2016,million pounds (GBP),6.1,Tube,Expenditure,Tube
2013,million pounds (GBP),635.9,Train,Expenditure,Train
2017,million pounds (GBP),1276.3,Train,Expenditure,Train
2014,million pounds (GBP),66,Car - hired,Expenditure,Car
2018,million pounds (GBP),855.4,Train,Expenditure,Train
2017,million pounds (GBP),3324.9,Car - own/friends/family,Expenditure,Car
2019,million pounds (GBP),3554.1,Car - own/friends/family,Expenditure,Car
2014,million pounds (GBP),2922.2,Car - own/friends/family,Expenditure,Car
2018,million pounds (GBP),3269.8,Car - own/friends/family,Expenditure,Car
2019,million pounds (GBP),3.9,Tram,Expenditure,Tram
2014,million pounds (GBP),2.9,Bicycle,Expenditure,Bicycle
2013,million pounds (GBP),0,Tram,Expenditure,Tram
2015,million pounds (GBP),9.1,Tram,Expenditure,Tram
2013,million pounds (GBP),4.3,Motor cycle,Expenditure,Motorcycle
2016,million pounds (GBP),3025.2,Car - own/friends/family,Expenditure,Car
2017,million pounds (GBP),151.7,Taxi,Expenditure,Taxi
2015,million pounds (GBP),2443.4,Car - own/friends/family,Expenditure,Car
2015,million pounds (GBP),1.5,Motor cycle,Expenditure,Motorcycle
2013,million pounds (GBP),2805.6,Car - own/friends/family,Expenditure,Car
2014,million pounds (GBP),1.2,Motor cycle,Expenditure,Motorcycle
2018,million pounds (GBP),44.2,Other,Expenditure,Other
2015,million pounds (GBP),3921.5,All,Expenditure,Other
2017,million pounds (GBP),5995,All,Expenditure,Other
2013,million pounds (GBP),14.9,Other,Expenditure,Other
2016,million pounds (GBP),146.3,Car - hired,Expenditure,Car
2018,million pounds (GBP),5473.9,All,Expenditure,Other
2019,million pounds (GBP),5777.3,All,Expenditure,Other
2017,million pounds (GBP),10.1,Tram,Expenditure,Tram
2014,million pounds (GBP),4.4,Tram,Expenditure,Tram
2015,million pounds (GBP),7.9,Bicycle,Expenditure,Bicycle
2016,million pounds (GBP),5.7,Tram,Expenditure,Tram
2013,million pounds (GBP),4646.7,All,Expenditure,Other
2014,million pounds (GBP),5020.2,All,Expenditure,Other
2018,million pounds (GBP),46.8,Tram,Expenditure,Tram
2015,Million Visits,0.6,Other,Visits,Other
2018,Million Visits,2,Other,Visits,Other
2014,Million Visits,1,Other,Visits,Other
2014,Million Visits,0.2,Lorry/Truck/Van,Visits,Lorry
2014,Million Visits,0.6,Boat/Ship/Ferry,Visits,Boat/Ship/Ferry
2017,Million Visits,0.5,Lorry/Truck/Van,Visits,Lorry
2019,Million Visits,1.4,Other,Visits,Other
2017,Million Visits,1.2,Other,Visits,Other
2013,Million Visits,1.4,Bus or Coach - Organised Tour,Visits,Bus
2019,Million Visits,15.9,Train,Visits,Train
